player_id,first_name,second_name,web_name,player_position,team_id,team_name,form,points_per_game,starts,minutes,goals_scored,assists,yellow_cards,red_cards,penalties_missed,own_goals,goals_conceded,saves,clean_sheets,penalties_saved,goals_per_90,assists_per_90,goals_conceded_per_90,saves_per_90,clean_sheets_per_90,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,ict_index,influence,creativity,threat,form_rank,form_rank_type,ict_index_rank,ict_index_rank_type,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,points_per_game_rank,points_per_game_rank_type,total_points
331,Tyler,Morton,Morton,Midfielder,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514,189,560,225,558,223,552,227,527,217,565,228,0
332,Nathaniel,Phillips,N.Phillips,Defender,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,140,482,167,480,167,459,165,420,148,486,165,0
333,Jarell,Quansah,Quansah,Defender,12,Liverpool,0.2,1,1,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.9,0,0.01,0.01,1.31,1.8,17.2,1.1,0,310,90,422,143,384,135,411,146,395,135,361,118,2
334,Rhys,Williams,R.Williams,Defender,12,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,143,488,170,486,170,465,168,426,151,491,167,0
335,Andrew,Robertson,Robertson,Defender,12,Liverpool,3.8,3.8,11,935,0,0,1,0,0,0,7,0,6,0,0,0,0.67,0,0.58,0.43,1.67,2.1,9.48,0.04,0.16,0.2,0.91,52.2,146,290.9,86,36,7,83,14,177,70,29,4,142,22,62,11,46
336,Dominik,Szoboszlai,Szoboszlai,Midfielder,12,Liverpool,3.5,3.1,10,924,1,2,3,0,0,0,6,0,5,0,0.097402597,0.194805195,0.58,0,0.49,1.9,1.73,3.63,8.65,0.19,0.17,0.36,0.84,66.5,162,310.2,191,45,23,46,31,159,60,23,19,62,39,110,52,40
337,Konstantinos,Tsimikas,Tsimikas,Defender,12,Liverpool,0,2.2,2,228,0,0,0,0,0,0,1,0,1,0,0,0,0.39,0,0.39,0.08,0.59,0.67,2,0.03,0.23,0.26,0.79,13.5,61,53.2,19,611,224,301,99,301,106,234,64,293,90,209,66,13
339,Virgil,van Dijk,Virgil,Defender,12,Liverpool,3.2,4.8,13,1170,1,1,1,0,0,0,8,0,7,0,0.076923077,0.076923077,0.62,0,0.54,0.81,0.29,1.1,11.47,0.06,0.02,0.08,0.88,51.2,312.8,69.9,130,53,11,87,17,30,9,200,53,98,9,22,1,63
636,Federico,Chiesa,Chiesa,Midfielder,12,Liverpool,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.08,0.24,0.55,0.8,0.4,1.2,2.75,1.6,0.2,0.9,15,684,311,429,208,458,222,416,216,306,168,433,216,1
660,Vítezslav,Jaros,Jaros,Goalkeeper,12,Liverpool,0,1,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,8.18,0,0,0,0,0.14,0,0,0,1.15,0.9,8.8,0,0,419,43,439,33,414,33,472,30,433,21,367,32,1
